,1,Unnamed: 1,Run,Souris n°,Groupe,Délais,Coeur,Bladder,Spleen,Foie,Lungs,Cerveau,Estomac,Rein
0,2,,1,toutes,tous,0.0,0,0.0,0.,0,0,0,0,0
1,3,,1,toutes,tous,0.5,2.0,0.0,0.35,17.0,3.5,2.7,0.75,5.0
2,4,,1,toutes,tous,7.,3.0708661417323,7.3469387755102,0.37333333333333,8.7843137254902,1.3490196078431,3.203125,0.44235294117647,4.4901185770751
3,5,,1,toutes,tous,15.,3.503937007874,12.122448979592,0.37960784313725,7.1372549019608,1.2862745098039,3.2421875,0.37333333333333,4.300395256917
4,6,,1,toutes,tous,25.,3.9370078740157,15.918367346939,0.39843137254902,5.8823529411765,1.2235294117647,3.2421875,0.33882352941176,4.1739130434783
5,7,,1,toutes,tous,35.,4.2125984251969,18.244897959184,0.41098039215686,5.2549019607843,1.1764705882353,3.203125,0.3043137254902,3.9841897233202
6,8,,1,toutes,tous,45.,4.488188976378,20.204081632653,0.42352941176471,4.8627450980392,1.1607843137255,3.06640625,0.28862745098039,3.7628458498024
7,9,,1,toutes,tous,55.,4.7244094488189,21.428571428571,0.42666666666667,4.5490196078431,1.1450980392157,2.94921875,0.28862745098039,3.604743083004
8,10,,1,toutes,tous,65.,4.8425196850394,22.408163265306,0.43921568627451,4.4705882352941,1.1607843137255,2.8125,0.28235294117647,3.3517786561265
9,11,,1,toutes,tous,75.,5.0,23.142857142857,0.44862745098039,4.2352941176471,1.1764705882353,2.71484375,0.27607843137255,3.1936758893281
10,12,,1,toutes,tous,85.,5.0,23.265306122449,0.44862745098039,4.2352941176471,1.1607843137255,2.578125,0.26980392156863,3.00395256917
